region,region_code,period,pct_phys_any_ehr,pct_phys_cert_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_small_practice_phys_cert_ehr,pct_phys_send_receive_any_patient_info,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record,pct_phys_info_available,pct_phys_use_info,pct_phys_search_vax,pct_phys_search_scr,pct_phys_epcs,pct_phys_pdmp,pct_phys_erx,pct_phys_basic_ehr,pct_primary_care_phys_basic_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_e_share_patients,pct_phys_patient_clinical_summary
National,US,2019,0.8991,0.7234,0.7547,0.695,0.7009,0.4235,0.6761,0.6515,0.1101,0.4864,0.3842,0.2711,0.3976,0.3113,0.294,0.1959,0.1473,0.2608,0.2779,0.3927,0.3967,0.6756,0.8869,,,,,,,,,,,,
Alabama,AL,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,2019,,0.7004298,0.72222221,0.66821295,0.65328383,0.33270943,0.76469785,0.73183578,0.099279016,0.46873254,0.3989878,0.20042977,0.39884925,0.26656958,0.2645593,0.13227965,0.033139192,0.16715202,0.26656958,0.33617577,0.4452889,,,,,,,,,,,,,,
Arizona,AZ,2019,1,0.74122041,0.60845298,0.81398022,0.82569522,0.31711984,0.67052305,0.79439008,0.12322576,0.50406617,0.31776118,0.27936715,0.31776118,0.27936715,0.32513449,0.23598929,0.1201659,0.23969047,0.16657455,0.46503082,0.85418278,0.59434724,1,,,,,,,,,,,,
Arkansas,AR,2019,,0.58376753,0.5682463,0.60192555,0.64969289,0.2112004,0.69411659,0.66283846,0.17026399,0.45651406,0.27583581,0.27583581,0.24363381,0.24363381,0.036241923,0.036241923,0.036241923,0.10762017,0.2499585,0.39187866,0.36106017,,,,,,,,,,,,,,
California,CA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,2019,,0.73263234,,0.65757585,0.68482089,0.49670237,,,,0.49649286,0.39424533,0.30760348,0.43159604,0.3020196,0.41895211,0.25471142,0.19119905,0.27226931,,0.35643089,0.55451465,0.7321949,,,,,,,,,,,,,
Connecticut,CT,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,DE,2019,0.88627756,0.69286633,0.69193226,0.69444209,0.62250102,0.46951786,0.80066609,0.74121916,0.1328893,0.51647192,0.22775382,0.19157013,0.42116505,0.28827575,0.38574746,0.24068902,0.084536493,0.36171812,0.1930875,0.45702499,0.64859277,0.6758495,0.89220029,,,,,,,,,,,,
District Of Columbia,DC,2019,0.80674583,0.73456544,0.87527478,0.64475405,0.72742832,0.4117704,0.48536968,0.70191079,0.16936679,0.19295394,0.2651343,0.19295394,0.36232072,0.29014036,0.16936679,0.048593212,0.048593212,0.24154715,0.072180361,0.14436072,0.052373555,0.33959004,0.73456544,,,,,,,,,,,,
Florida,FL,2019,,,,,,,0.64942998,,0.17449899,,,0.18330517,,,,0.18423147,0.072829932,0.13475136,0.15063681,0.16712029,,,,,,,,,,,,,,,
Georgia,GA,2019,,,,,,0.44661897,0.66243654,0.59649718,,0.43760613,0.49299404,0.46252415,0.49387234,0.43600002,0.19530897,0.16483907,0.13655829,,0.18373951,0.3772074,,0.61884689,,,,,,,,,,,,,
Hawaii,HI,2019,,,,,,0.51072747,,,0.11672262,0.45611122,0.39366874,0.18857758,0.43755752,0.35075885,0.42138004,0.38919765,0.03218241,0.39464763,0.2584382,0.37254989,0.21981652,0.59816891,,,,,,,,,,,,,
Idaho,ID,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,IL,2019,0.85942888,0.76719511,0.73630273,0.80160964,0.65759623,0.57696635,0.76558352,0.7773177,0.23260801,0.42244303,0.53004366,0.25961459,0.53004366,0.35306618,0.53029174,0.2962178,0.30897301,0.2972388,0.18568534,0.28079972,0.2465023,0.48346359,0.95307732,,,,,,,,,,,,
Indiana,IN,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,IA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KS,2019,,,,,,,,,,,,,,,,0.063951395,,,,,,,,,,,,,,,,,,,
Kentucky,KY,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,LA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,ME,2019,,,,,,,,,,,,,,,,,0.036605529,,,,,,,,,,,,,,,,,,
Maryland,MD,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,2019,0.95707947,0.61437196,0.80419075,0.46122554,0.64915556,0.51621908,0.70101047,0.73265117,0.043717969,0.51406127,0.52693599,0.44165787,0.48321804,0.34486532,0.13035645,0.13035645,0.043717969,0.30114734,0.12979358,0.47170365,0.49677834,0.914159,0.91472185,,,,,,,,,,,,
Minnesota,MN,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,MS,2019,,0.64473832,0.64404041,0.64521182,0.61780977,0.21231343,0.54247802,0.58129412,0.10880553,0.30943131,0.14185497,0.14185497,0.18020205,0.18020205,0.10974359,0.070927486,,0.14185497,0.13016732,0.27108425,0.26503268,0.70522577,,,,,,,,,,,,,
Missouri,MO,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,MT,2019,,,,,,,,,0.05561408,,,0.15880007,0.17311014,0.096930139,0.12373988,0.061869938,0.030934969,0.16670261,,,,,,,,,,,,,,,,,
Nebraska,NE,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
